,50,60,75,90
0,abs_vo850_cluster2,abs_vo850_cluster2,abs_vo850_cluster2,abs_vo850_cluster2
1,abs_vo850_cluster6,mpi_cluster9,mpi_cluster9,mpi_cluster9
2,mpi_cluster9,msl_cluster3,vo850_cluster6,vo850_cluster6
3,msl_cluster3,r700_cluster1,vo850_cluster9,vo850_cluster9
4,r700_cluster1,sst_cluster4,vws850-200_cluster8,vws850-200_cluster8
5,r700_cluster7,sst_cluster7,vws850-200_cluster9,vws850-200_cluster9
6,sst_cluster4,vo850_cluster6,PNA,TNA
7,sst_cluster7,vo850_cluster9,TNA,TSA
8,vo850_cluster6,vws850-200_cluster8,TSA,WP
9,vo850_cluster9,vws850-200_cluster9,WP,
10,vws850-200_cluster8,NAO,,
11,vws850-200_cluster9,PNA,,
12,w_cluster8,TNA,,
13,NAO,TSA,,
14,PNA,WP,,
15,TNA,,,
16,TSA,,,
17,WP,,,
