,cluster,nodes_lat,nodes_lon
0,4,40.0,-180.0
1,4,40.0,-177.5
2,4,40.0,-175.0
3,4,40.0,-172.5
4,1,40.0,-170.0
5,1,40.0,-167.5
6,1,40.0,-165.0
7,1,40.0,-162.5
8,1,40.0,-160.0
9,1,40.0,-157.5
10,1,40.0,-155.0
11,1,40.0,-152.5
12,1,40.0,-150.0
13,1,40.0,-147.5
14,1,40.0,-145.0
15,1,40.0,-142.5
16,1,40.0,-140.0
17,1,40.0,-137.5
18,1,40.0,-135.0
19,1,40.0,-132.5
20,1,40.0,-130.0
21,1,40.0,-127.5
22,1,40.0,-125.0
23,1,40.0,-122.5
24,1,40.0,-120.0
25,1,40.0,-117.5
26,1,40.0,-115.0
27,1,40.0,-112.5
28,1,40.0,-110.0
29,1,40.0,-107.5
30,1,40.0,-105.0
31,5,40.0,-102.5
32,1,40.0,-100.0
33,1,40.0,-97.5
34,1,40.0,-95.0
35,1,40.0,-92.5
36,1,40.0,-90.0
37,1,40.0,-87.5
38,1,40.0,-85.0
39,1,40.0,-82.5
40,1,40.0,-80.0
41,4,40.0,-77.5
42,4,40.0,-75.0
43,4,40.0,-72.5
44,4,40.0,-70.0
45,1,40.0,-67.5
46,1,40.0,-65.0
47,1,40.0,-62.5
48,1,40.0,-60.0
49,1,40.0,-57.5
50,1,40.0,-55.0
51,1,40.0,-52.5
52,1,40.0,-50.0
53,1,40.0,-47.5
54,1,40.0,-45.0
55,1,40.0,-42.5
56,1,40.0,-40.0
57,1,40.0,-37.5
58,1,40.0,-35.0
59,1,40.0,-32.5
60,2,40.0,-30.0
61,2,40.0,-27.5
62,2,40.0,-25.0
63,2,40.0,-22.5
64,2,40.0,-20.0
65,2,40.0,-17.5
66,2,40.0,-15.0
67,2,40.0,-12.5
68,2,40.0,-10.0
69,2,40.0,-7.5
70,2,40.0,-5.0
71,2,40.0,-2.5
72,2,40.0,0.0
73,2,40.0,2.5
74,2,40.0,5.0
75,2,40.0,7.5
76,2,40.0,10.0
77,2,40.0,12.5
78,2,40.0,15.0
79,2,40.0,17.5
80,1,40.0,20.0
81,2,40.0,22.5
82,5,40.0,25.0
83,5,40.0,27.5
84,5,40.0,30.0
85,5,40.0,32.5
86,5,40.0,35.0
87,5,40.0,37.5
88,5,40.0,40.0
89,5,40.0,42.5
90,5,40.0,45.0
91,5,40.0,47.5
92,5,40.0,50.0
93,5,40.0,52.5
94,5,40.0,55.0
95,5,40.0,57.5
96,5,40.0,60.0
97,5,40.0,62.5
98,5,40.0,65.0
99,5,40.0,67.5
100,5,40.0,70.0
101,5,40.0,72.5
102,5,40.0,75.0
103,5,40.0,77.5
104,5,40.0,80.0
105,5,40.0,82.5
106,5,40.0,85.0
107,5,40.0,87.5
108,5,40.0,90.0
109,5,40.0,92.5
110,5,40.0,95.0
111,5,40.0,97.5
112,5,40.0,100.0
113,5,40.0,102.5
114,5,40.0,105.0
115,5,40.0,107.5
116,5,40.0,110.0
117,5,40.0,112.5
118,5,40.0,115.0
119,5,40.0,117.5
120,4,40.0,120.0
121,4,40.0,122.5
122,4,40.0,125.0
123,4,40.0,127.5
124,4,40.0,130.0
125,4,40.0,132.5
126,4,40.0,135.0
127,4,40.0,137.5
128,4,40.0,140.0
129,4,40.0,142.5
130,4,40.0,145.0
131,4,40.0,147.5
132,4,40.0,150.0
133,4,40.0,152.5
134,4,40.0,155.0
135,4,40.0,157.5
136,4,40.0,160.0
137,4,40.0,162.5
138,4,40.0,165.0
139,4,40.0,167.5
140,4,40.0,170.0
141,4,40.0,172.5
142,4,40.0,175.0
143,4,40.0,177.5
144,4,37.5,-180.0
145,4,37.5,-177.5
146,4,37.5,-175.0
147,4,37.5,-172.5
148,4,37.5,-170.0
149,1,37.5,-167.5
150,1,37.5,-165.0
151,1,37.5,-162.5
152,1,37.5,-160.0
153,1,37.5,-157.5
154,1,37.5,-155.0
155,1,37.5,-152.5
156,1,37.5,-150.0
157,1,37.5,-147.5
158,1,37.5,-145.0
159,1,37.5,-142.5
160,1,37.5,-140.0
