,cluster,nodes_lat,nodes_lon
0,1,40.0,45.0
1,1,40.0,47.5
2,1,40.0,50.0
3,1,40.0,52.5
4,1,40.0,55.0
5,1,40.0,57.5
6,1,40.0,60.0
7,1,40.0,62.5
8,1,40.0,65.0
9,1,40.0,67.5
10,1,40.0,70.0
11,1,40.0,72.5
12,1,40.0,75.0
13,1,40.0,77.5
14,1,40.0,80.0
15,1,40.0,82.5
16,7,40.0,85.0
17,7,40.0,87.5
18,7,40.0,90.0
19,7,40.0,92.5
20,7,40.0,95.0
21,7,40.0,97.5
22,7,40.0,100.0
23,1,37.5,45.0
24,1,37.5,47.5
25,1,37.5,50.0
26,1,37.5,52.5
27,1,37.5,55.0
28,1,37.5,57.5
29,1,37.5,60.0
30,1,37.5,62.5
31,1,37.5,65.0
32,1,37.5,67.5
33,1,37.5,70.0
34,1,37.5,72.5
35,1,37.5,75.0
36,1,37.5,77.5
37,1,37.5,80.0
38,7,37.5,82.5
39,7,37.5,85.0
40,7,37.5,87.5
41,7,37.5,90.0
42,7,37.5,92.5
43,7,37.5,95.0
44,7,37.5,97.5
45,7,37.5,100.0
46,1,35.0,45.0
47,1,35.0,47.5
48,1,35.0,50.0
49,1,35.0,52.5
50,1,35.0,55.0
51,1,35.0,57.5
52,1,35.0,60.0
53,1,35.0,62.5
54,1,35.0,65.0
55,1,35.0,67.5
56,1,35.0,70.0
57,1,35.0,72.5
58,1,35.0,75.0
59,1,35.0,77.5
60,7,35.0,80.0
61,7,35.0,82.5
62,7,35.0,85.0
63,7,35.0,87.5
64,7,35.0,90.0
65,7,35.0,92.5
66,7,35.0,95.0
67,7,35.0,97.5
68,7,35.0,100.0
69,1,32.5,45.0
70,1,32.5,47.5
71,1,32.5,50.0
72,1,32.5,52.5
73,1,32.5,55.0
74,1,32.5,57.5
75,1,32.5,60.0
76,1,32.5,62.5
77,1,32.5,65.0
78,1,32.5,67.5
79,1,32.5,70.0
80,1,32.5,72.5
81,1,32.5,75.0
82,1,32.5,77.5
83,7,32.5,80.0
84,7,32.5,82.5
85,7,32.5,85.0
86,7,32.5,87.5
87,7,32.5,90.0
88,7,32.5,92.5
89,7,32.5,95.0
90,7,32.5,97.5
91,7,32.5,100.0
92,1,30.0,45.0
93,1,30.0,47.5
94,1,30.0,50.0
95,1,30.0,52.5
96,1,30.0,55.0
97,1,30.0,57.5
98,1,30.0,60.0
99,1,30.0,62.5
100,1,30.0,65.0
101,1,30.0,67.5
102,1,30.0,70.0
103,1,30.0,72.5
104,1,30.0,75.0
105,1,30.0,77.5
106,7,30.0,80.0
107,7,30.0,82.5
