,cluster,nodes_lat,nodes_lon
0,6,0.0,35.0
1,6,0.0,37.5
2,6,0.0,40.0
3,6,0.0,42.5
4,6,0.0,45.0
5,6,0.0,47.5
6,6,0.0,50.0
7,6,0.0,52.5
8,6,0.0,55.0
9,6,0.0,57.5
10,6,0.0,60.0
11,6,0.0,62.5
12,6,0.0,65.0
13,6,0.0,67.5
14,6,0.0,70.0
15,6,0.0,72.5
16,6,0.0,75.0
17,6,0.0,77.5
18,6,0.0,80.0
19,6,0.0,82.5
20,6,0.0,85.0
21,6,0.0,87.5
22,6,0.0,90.0
23,6,0.0,92.5
24,6,0.0,95.0
25,6,0.0,97.5
26,6,0.0,100.0
27,6,0.0,102.5
28,6,0.0,105.0
29,6,0.0,107.5
30,6,0.0,110.0
31,6,0.0,112.5
32,6,0.0,115.0
33,6,0.0,117.5
34,6,0.0,120.0
35,6,0.0,122.5
36,6,0.0,125.0
37,6,0.0,127.5
38,6,0.0,130.0
39,6,0.0,132.5
40,6,0.0,135.0
41,6,-2.5,35.0
42,6,-2.5,37.5
43,6,-2.5,40.0
44,6,-2.5,42.5
45,6,-2.5,45.0
46,6,-2.5,47.5
47,6,-2.5,50.0
48,6,-2.5,52.5
49,6,-2.5,55.0
50,6,-2.5,57.5
51,6,-2.5,60.0
52,6,-2.5,62.5
53,6,-2.5,65.0
54,6,-2.5,67.5
55,6,-2.5,70.0
56,6,-2.5,72.5
57,6,-2.5,75.0
58,6,-2.5,77.5
59,6,-2.5,80.0
60,6,-2.5,82.5
61,6,-2.5,85.0
62,6,-2.5,87.5
63,6,-2.5,90.0
64,6,-2.5,92.5
65,6,-2.5,95.0
66,6,-2.5,97.5
67,6,-2.5,100.0
68,6,-2.5,102.5
69,6,-2.5,105.0
70,6,-2.5,107.5
71,6,-2.5,110.0
72,6,-2.5,112.5
73,6,-2.5,115.0
74,6,-2.5,117.5
75,6,-2.5,120.0
76,6,-2.5,122.5
77,6,-2.5,125.0
78,6,-2.5,127.5
79,6,-2.5,130.0
80,6,-2.5,132.5
81,6,-2.5,135.0
82,6,-5.0,35.0
83,6,-5.0,37.5
84,6,-5.0,40.0
85,6,-5.0,42.5
86,6,-5.0,45.0
87,6,-5.0,47.5
88,6,-5.0,50.0
89,6,-5.0,52.5
90,6,-5.0,55.0
91,6,-5.0,57.5
92,6,-5.0,60.0
93,6,-5.0,62.5
94,6,-5.0,65.0
95,6,-5.0,67.5
96,6,-5.0,70.0
97,6,-5.0,72.5
98,6,-5.0,75.0
99,6,-5.0,77.5
100,6,-5.0,80.0
101,6,-5.0,82.5
102,6,-5.0,85.0
103,6,-5.0,87.5
104,6,-5.0,90.0
105,6,-5.0,92.5
106,6,-5.0,95.0
107,6,-5.0,97.5
108,6,-5.0,100.0
109,6,-5.0,102.5
110,6,-5.0,105.0
111,6,-5.0,107.5
112,6,-5.0,110.0
113,6,-5.0,112.5
114,6,-5.0,115.0
115,6,-5.0,117.5
116,6,-5.0,120.0
117,6,-5.0,122.5
118,6,-5.0,125.0
119,6,-5.0,127.5
120,6,-5.0,130.0
121,6,-5.0,132.5
122,6,-5.0,135.0
123,6,-7.5,35.0
124,6,-7.5,37.5
125,6,-7.5,40.0
126,6,-7.5,42.5
127,6,-7.5,45.0
128,6,-7.5,47.5
129,6,-7.5,50.0
130,6,-7.5,52.5
131,6,-7.5,55.0
132,6,-7.5,57.5
133,6,-7.5,60.0
134,6,-7.5,62.5
135,6,-7.5,65.0
136,6,-7.5,67.5
137,6,-7.5,70.0
138,6,-7.5,72.5
139,6,-7.5,75.0
140,6,-7.5,77.5
141,6,-7.5,80.0
142,6,-7.5,82.5
143,6,-7.5,85.0
144,6,-7.5,87.5
145,6,-7.5,90.0
146,6,-7.5,92.5
147,6,-7.5,95.0
148,6,-7.5,97.5
149,6,-7.5,100.0
150,6,-7.5,102.5
151,6,-7.5,105.0
152,6,-7.5,107.5
153,6,-7.5,110.0
154,6,-7.5,112.5
155,6,-7.5,115.0
156,6,-7.5,117.5
157,6,-7.5,120.0
158,6,-7.5,122.5
159,6,-7.5,125.0
160,6,-7.5,127.5
161,6,-7.5,130.0
162,6,-7.5,132.5
163,6,-7.5,135.0
164,6,-10.0,35.0
165,6,-10.0,37.5
166,6,-10.0,40.0
167,6,-10.0,42.5
168,6,-10.0,45.0
169,6,-10.0,47.5
170,6,-10.0,50.0
171,6,-10.0,52.5
172,6,-10.0,55.0
173,6,-10.0,57.5
174,6,-10.0,60.0
175,6,-10.0,62.5
176,6,-10.0,65.0
177,6,-10.0,67.5
178,6,-10.0,70.0
179,6,-10.0,72.5
180,6,-10.0,75.0
181,6,-10.0,77.5
182,6,-10.0,80.0
183,6,-10.0,82.5
184,6,-10.0,85.0
185,6,-10.0,87.5
186,6,-10.0,90.0
187,6,-10.0,92.5
188,6,-10.0,95.0
189,6,-10.0,97.5
190,6,-10.0,100.0
191,6,-10.0,102.5
192,6,-10.0,105.0
193,6,-10.0,107.5
194,6,-10.0,110.0
195,6,-10.0,112.5
196,6,-10.0,115.0
197,6,-10.0,117.5
198,6,-10.0,120.0
199,6,-10.0,122.5
200,6,-10.0,125.0
201,6,-10.0,127.5
202,6,-10.0,130.0
203,6,-10.0,132.5
204,6,-10.0,135.0
205,6,-12.5,35.0
206,6,-12.5,37.5
207,3,-12.5,40.0
208,6,-12.5,42.5
209,6,-12.5,45.0
210,6,-12.5,47.5
211,6,-12.5,50.0
212,6,-12.5,52.5
213,6,-12.5,55.0
214,6,-12.5,57.5
215,6,-12.5,60.0
216,6,-12.5,62.5
217,6,-12.5,65.0
218,6,-12.5,67.5
219,6,-12.5,70.0
220,6,-12.5,72.5
221,6,-12.5,75.0
222,6,-12.5,77.5
223,6,-12.5,80.0
224,6,-12.5,82.5
225,10,-12.5,85.0
226,6,-12.5,87.5
227,6,-12.5,90.0
228,6,-12.5,92.5
229,6,-12.5,95.0
230,6,-12.5,97.5
231,6,-12.5,100.0
232,6,-12.5,102.5
233,6,-12.5,105.0
234,6,-12.5,107.5
235,6,-12.5,110.0
236,6,-12.5,112.5
237,6,-12.5,115.0
238,6,-12.5,117.5
239,6,-12.5,120.0
240,6,-12.5,122.5
241,6,-12.5,125.0
242,6,-12.5,127.5
243,6,-12.5,130.0
244,6,-12.5,132.5
245,6,-12.5,135.0
246,7,-15.0,35.0
247,7,-15.0,37.5
248,3,-15.0,40.0
249,3,-15.0,42.5
250,3,-15.0,45.0
251,6,-15.0,47.5
252,6,-15.0,50.0
253,6,-15.0,52.5
254,11,-15.0,55.0
255,11,-15.0,57.5
256,11,-15.0,60.0
257,11,-15.0,62.5
258,6,-15.0,65.0
259,6,-15.0,67.5
260,6,-15.0,70.0
261,6,-15.0,72.5
262,6,-15.0,75.0
263,6,-15.0,77.5
264,6,-15.0,80.0
265,10,-15.0,82.5
266,10,-15.0,85.0
267,10,-15.0,87.5
268,6,-15.0,90.0
269,6,-15.0,92.5
270,6,-15.0,95.0
271,6,-15.0,97.5
272,6,-15.0,100.0
273,6,-15.0,102.5
274,6,-15.0,105.0
275,6,-15.0,107.5
276,6,-15.0,110.0
277,6,-15.0,112.5
278,6,-15.0,115.0
279,4,-15.0,117.5
280,4,-15.0,120.0
281,1,-15.0,122.5
282,1,-15.0,125.0
283,1,-15.0,127.5
284,6,-15.0,130.0
285,6,-15.0,132.5
286,6,-15.0,135.0
287,7,-17.5,35.0
288,7,-17.5,37.5
289,7,-17.5,40.0
290,3,-17.5,42.5
291,3,-17.5,45.0
292,3,-17.5,47.5
293,9,-17.5,50.0
294,9,-17.5,52.5
295,11,-17.5,55.0
296,11,-17.5,57.5
297,11,-17.5,60.0
298,11,-17.5,62.5
299,11,-17.5,65.0
300,6,-17.5,67.5
301,6,-17.5,70.0
302,5,-17.5,72.5
303,5,-17.5,75.0
304,6,-17.5,77.5
305,10,-17.5,80.0
306,10,-17.5,82.5
