experiment,model,n_clusters,n_features,R_mlp,R_mlp_noFS,R_pi-mlp,R_pi-mlp_noFS,R_lgbm,R_lgbm_noFS,R_pi-lgbm,R_pi-lgbm_noFS,R_S_mlp,R_S_mlp_noFS,R_S_pi-mlp,R_S_pi-mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_pi-lgbm,R_S_pi-lgbm_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_pi-mlp,R_Y_pi-mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_pi-lgbm,R_Y_pi-lgbm_noFS
test1_linreg_nc5_nv8_nd9,linreg,5,19,0.837899636703944,0.8418710507219999,0.4552599028626061,0.3622945905985745,0.8218144787170527,0.842249336762036,0.8349434401349818,0.8379401357746723,0.9910655958698958,0.9982804061885008,0.9916710486790236,0.8745410551658254,0.9896841648810676,0.9965211117744802,0.9912914202129988,0.989588490398003,0.3889448460030854,0.5318939283284313,-0.4053517720822323,-0.2196314744020475,0.067740135548116,0.3080220614509024,0.0738436156706429,0.2469780696033089
test1_linreg_Anc5_nv8_nd9,linreg,5,19,0.8398681813247001,0.8522359596065294,0.4509477749034968,0.4448297545318934,0.8332535396218458,0.8371305243151544,0.8218643960938649,0.8372563253675943,0.9906882596104928,0.9974844202001346,0.9525268100667617,0.8791673462503645,0.9960301161192968,0.9982873453866704,0.9943483442172044,0.9938338507020366,0.4718691650792209,0.4975024161950164,-0.3415249904264163,-0.1513468532533694,0.1505720457654072,0.2090659276255288,-0.0251094495617476,0.1059232403022159
test2_linreg_nc5_nv8_nd9,linreg,5,16,0.8455719434407469,0.8429450615293631,0.6516332743259452,0.5909832732774485,0.8405276399977539,0.842249336762036,0.8494258495344919,0.8379401357746723,0.9919210831270866,0.9969360792965214,0.979703374860707,0.9580891727742992,0.990292811724954,0.9965211117744802,0.9929271156045366,0.989588490398003,0.5004736829230607,0.5496465860202715,-0.4560296396588119,-0.3403639562979531,0.281498896683563,0.3080220614509024,0.2902459308078239,0.2469780696033089
test2_linreg_Anc5_nv8_nd9,linreg,5,21,0.8527698848317832,0.8523903346329758,0.594774343804859,0.4313282878561806,0.8380763173483932,0.8371305243151544,0.8364766137175839,0.8372563253675943,0.9945914882437936,0.9972907660503396,0.9617795712602396,0.9568936516663156,0.9976702337073052,0.9982873453866704,0.9955977997463668,0.9938338507020366,0.3683561737714078,0.428864169055599,-0.3648175924042703,-0.4892122405647738,0.1732306600153992,0.2090659276255288,0.0214227660424671,0.1059232403022159
test3_linreg_nc5_nv8_nd9,linreg,5,19,0.8357334844083111,0.8397367427758006,0.496969496703092,0.2239669987338149,0.8135795139538521,0.842249336762036,0.8234847900098906,0.8379401357746723,0.9922091091731264,0.997018392499244,0.9564328934982886,0.7959485334453332,0.9923090292262424,0.9965211117744802,0.9909876421561206,0.989588490398003,0.4026588101914974,0.4173450665391885,-0.3286964210531766,-0.3457077702734101,-0.0974979266830826,0.3080220614509024,-0.0717923353977524,0.2469780696033089
test3_linreg_Anc5_nv8_nd9,linreg,5,18,0.8465101696953284,0.8488499950938475,0.5367736083641684,0.430854649517801,0.8377995552120105,0.8371305243151544,0.8354773671982753,0.8372563253675943,0.9886878406633964,0.9973029943179804,0.9441561481631596,0.933574014950978,0.9971629472757416,0.9982873453866704,0.9945385336030006,0.9938338507020366,0.3407229375941483,0.4448682745923581,-0.2428153677997475,-0.2421663728405111,0.1936788194847233,0.2090659276255288,0.1581776062533612,0.1059232403022159
test4_linreg_nc5_nv8_nd9,linreg,5,18,0.8439390299477174,0.8410814282067873,0.5272677901083085,0.3037122802671155,0.8174374459405936,0.842249336762036,0.8294724129575446,0.8379401357746723,0.9938226527465924,0.9980996184505768,0.962305723237714,0.794936752059834,0.9883415531795025,0.9965211117744802,0.9884218845840128,0.989588490398003,0.4253070672870718,0.530690464664876,-0.2758156892392108,-0.3890879764394607,-0.068321164536021,0.3080220614509024,-0.126538917530079,0.2469780696033089
test4_linreg_Anc5_nv8_nd9,linreg,5,21,0.8320836687440746,0.8512377030589424,0.5261563213014555,0.4441057531193929,0.8313989076713537,0.8371305243151544,0.834527859235341,0.8372563253675943,0.9852210309985736,0.997785721613244,0.9153040591684064,0.7466672737615452,0.9976286630635992,0.9982873453866704,0.994350043958204,0.9938338507020366,0.283778014427449,0.4356670408557413,-0.4807590831145646,-0.3149339109771335,0.1450257024019599,0.2090659276255288,0.0028120486221706,0.1059232403022159
test5_linreg_nc5_nv8_nd9,linreg,5,17,0.8464703476889941,0.8426569943557335,0.5448383734305926,0.6003197389194745,0.8343580371867684,0.842249336762036,0.8431047472549432,0.8379401357746723,0.9929854648572716,0.9975160173019726,0.9238127974063794,0.9329873852809936,0.982918015491678,0.9965211117744802,0.9861447647251104,0.989588490398003,0.5097219909476667,0.499235142105626,-0.4684248656948829,-0.0265720358508685,0.3158016710296188,0.3080220614509024,0.2332061484289017,0.2469780696033089
test5_linreg_Anc5_nv8_nd9,linreg,5,19,0.839230396898374,0.8487613582118176,0.4384684780549284,0.4083534984544338,0.8328340014496795,0.8371305243151544,0.8222178495433395,0.8372563253675943,0.9900867796317104,0.9971247117105306,0.9372853088145392,0.8775836178402472,0.9953924727878976,0.9982873453866704,0.9939464563766524,0.9938338507020366,0.4915330094891948,0.4116425518621268,-0.4098312690814654,-0.279616120556644,0.1414173281301347,0.2090659276255288,-0.108633558433015,0.1059232403022159
test1_lgbm_nc5_nv8_nd9,lgbm,5,14,0.8363238212120765,0.8402651683367547,0.5626886095181257,0.4018911793479652,0.8348939817442771,0.842249336762036,0.8503500916709409,0.8379401357746723,0.9808994050159496,0.997359917304983,0.8678033557712367,0.934432567731692,0.9891706850931948,0.9965211117744802,0.986936267845244,0.989588490398003,0.3491533394174979,0.5217973145195791,-0.4118123420242693,-0.2630497508903724,0.3385958579327142,0.3080220614509024,0.3864445206183038,0.2469780696033089
test1_lgbm_Anc5_nv8_nd9,lgbm,5,14,0.8320478070136856,0.8504733203032726,0.4985562804147103,0.3581366845580876,0.8400462715939664,0.8371305243151544,0.8484880853956535,0.8372563253675943,0.9885707233750072,0.9970150095795266,0.8582747147715423,0.9311140234243728,0.995065903721282,0.9982873453866704,0.9932032898312504,0.9938338507020366,0.2184399361368302,0.4963942673652717,-0.4325858271116403,-0.4951359513365437,0.2839950271563042,0.2090659276255288,0.2182767807822597,0.1059232403022159
test2_lgbm_nc5_nv8_nd9,lgbm,5,10,0.8281251249916713,0.8392872985227112,0.7011411438358058,0.3852167358652968,0.8497691969435571,0.842249336762036,0.8534031902148858,0.8379401357746723,0.9815943276903712,0.9977503641321176,0.9464543974575402,0.9289496800900175,0.9926997625099864,0.9965211117744802,0.9888737047692796,0.989588490398003,0.2846261686959272,0.4908468427034245,-0.1840531703114912,-0.2534115150523852,0.5147980212664679,0.3080220614509024,0.5221184645041731,0.2469780696033089
test2_lgbm_Anc5_nv8_nd9,lgbm,5,16,0.8235953949681603,0.8498621750180343,0.581137193521169,0.4853868137520981,0.8425031801010057,0.8371305243151544,0.8418149717861145,0.8372563253675943,0.9714626304638668,0.9972315740626572,0.9364117539675196,0.8476358435891858,0.994400932229422,0.9982873453866704,0.9892616785541016,0.9938338507020366,0.3864237357763396,0.4387153258313045,-0.1823946720058578,-0.3875189882244181,0.2956506559804172,0.2090659276255288,0.2264631924307544,0.1059232403022159
test3_lgbm_nc5_nv8_nd9,lgbm,5,10,0.8335543959329313,0.8353508582228001,0.6710709208968477,0.3240524049618724,0.844400878308904,0.842249336762036,0.845039119340468,0.8379401357746723,0.9939396361161807,0.9975077219030778,0.8862280235840768,0.858338745704814,0.9901550866300388,0.9965211117744802,0.9878945478783636,0.989588490398003,0.1200251261358594,0.365066036101109,-0.118016342382722,-0.4210019574746185,0.4937574084934067,0.3080220614509024,0.3350004521043898,0.2469780696033089
