,cluster,nodes_lat,nodes_lon
0,3,40.0,-180.0
1,3,40.0,-177.5
2,3,40.0,-175.0
3,3,40.0,-172.5
4,3,40.0,-170.0
5,3,40.0,-167.5
6,3,40.0,-165.0
7,3,40.0,-162.5
8,3,40.0,-160.0
9,3,40.0,-157.5
10,3,40.0,-155.0
11,3,40.0,-152.5
12,3,40.0,-150.0
13,3,40.0,-147.5
14,3,40.0,-145.0
15,3,40.0,-142.5
16,3,40.0,-140.0
17,3,40.0,-137.5
18,3,40.0,-135.0
19,3,40.0,-132.5
20,3,40.0,-130.0
21,1,40.0,-127.5
22,1,40.0,-125.0
23,10,40.0,-122.5
24,7,40.0,-120.0
25,10,40.0,-117.5
26,10,40.0,-115.0
27,10,40.0,-112.5
28,10,40.0,-110.0
29,7,40.0,-107.5
30,4,40.0,-105.0
31,4,40.0,-102.5
32,7,40.0,-100.0
33,11,40.0,-97.5
34,11,40.0,-95.0
35,11,40.0,-92.5
36,11,40.0,-90.0
37,11,40.0,-87.5
38,11,40.0,-85.0
39,11,40.0,-82.5
40,8,40.0,-80.0
41,11,40.0,-77.5
42,11,40.0,-75.0
43,8,40.0,-72.5
44,3,40.0,-70.0
45,3,40.0,-67.5
46,3,40.0,-65.0
47,3,40.0,-62.5
48,3,40.0,-60.0
49,3,40.0,-57.5
50,3,40.0,-55.0
51,3,40.0,-52.5
52,3,40.0,-50.0
53,3,40.0,-47.5
54,3,40.0,-45.0
55,3,40.0,-42.5
56,3,40.0,-40.0
57,3,40.0,-37.5
58,3,40.0,-35.0
59,3,40.0,-32.5
60,3,40.0,-30.0
61,3,40.0,-27.5
62,3,40.0,-25.0
63,3,40.0,-22.5
64,3,40.0,-20.0
65,3,40.0,-17.5
66,3,40.0,-15.0
67,3,40.0,-12.5
68,3,40.0,-10.0
69,7,40.0,-7.5
70,7,40.0,-5.0
71,7,40.0,-2.5
72,8,40.0,0.0
73,11,40.0,2.5
74,11,40.0,5.0
75,11,40.0,7.5
76,11,40.0,10.0
77,11,40.0,12.5
78,11,40.0,15.0
79,11,40.0,17.5
80,11,40.0,20.0
81,11,40.0,22.5
82,11,40.0,25.0
83,11,40.0,27.5
84,11,40.0,30.0
85,7,40.0,32.5
86,7,40.0,35.0
87,11,40.0,37.5
88,11,40.0,40.0
89,7,40.0,42.5
90,11,40.0,45.0
91,7,40.0,47.5
92,5,40.0,50.0
93,7,40.0,52.5
94,10,40.0,55.0
95,10,40.0,57.5
96,10,40.0,60.0
97,10,40.0,62.5
98,10,40.0,65.0
99,7,40.0,67.5
100,7,40.0,70.0
101,8,40.0,72.5
102,7,40.0,75.0
103,10,40.0,77.5
104,10,40.0,80.0
105,10,40.0,82.5
106,2,40.0,85.0
107,2,40.0,87.5
108,2,40.0,90.0
109,2,40.0,92.5
110,2,40.0,95.0
111,2,40.0,97.5
112,2,40.0,100.0
113,2,40.0,102.5
114,10,40.0,105.0
115,10,40.0,107.5
116,4,40.0,110.0
117,4,40.0,112.5
118,4,40.0,115.0
119,4,40.0,117.5
120,4,40.0,120.0
121,8,40.0,122.5
122,8,40.0,125.0
123,8,40.0,127.5
124,8,40.0,130.0
125,8,40.0,132.5
126,8,40.0,135.0
127,8,40.0,137.5
128,8,40.0,140.0
129,8,40.0,142.5
130,8,40.0,145.0
131,8,40.0,147.5
132,8,40.0,150.0
133,8,40.0,152.5
134,8,40.0,155.0
135,8,40.0,157.5
136,8,40.0,160.0
137,3,40.0,162.5
138,3,40.0,165.0
139,3,40.0,167.5
140,3,40.0,170.0
141,3,40.0,172.5
142,3,40.0,175.0
143,3,40.0,177.5
144,3,37.5,-180.0
145,3,37.5,-177.5
146,3,37.5,-175.0
147,3,37.5,-172.5
148,3,37.5,-170.0
149,3,37.5,-167.5
150,3,37.5,-165.0
151,3,37.5,-162.5
152,3,37.5,-160.0
153,3,37.5,-157.5
154,3,37.5,-155.0
155,3,37.5,-152.5
156,3,37.5,-150.0
157,3,37.5,-147.5
158,3,37.5,-145.0
159,3,37.5,-142.5
160,3,37.5,-140.0
161,3,37.5,-137.5
162,3,37.5,-135.0
163,3,37.5,-132.5
164,3,37.5,-130.0
165,1,37.5,-127.5
166,1,37.5,-125.0
167,3,37.5,-122.5
168,7,37.5,-120.0
169,10,37.5,-117.5
170,10,37.5,-115.0
171,10,37.5,-112.5
172,10,37.5,-110.0
173,7,37.5,-107.5
174,4,37.5,-105.0
175,4,37.5,-102.5
176,4,37.5,-100.0
177,11,37.5,-97.5
178,11,37.5,-95.0
179,11,37.5,-92.5
180,11,37.5,-90.0
181,11,37.5,-87.5
182,11,37.5,-85.0
183,8,37.5,-82.5
184,8,37.5,-80.0
185,8,37.5,-77.5
186,8,37.5,-75.0
187,8,37.5,-72.5
188,8,37.5,-70.0
189,8,37.5,-67.5
190,8,37.5,-65.0
191,8,37.5,-62.5
192,3,37.5,-60.0
193,3,37.5,-57.5
194,3,37.5,-55.0
195,3,37.5,-52.5
196,3,37.5,-50.0
197,3,37.5,-47.5
198,3,37.5,-45.0
199,3,37.5,-42.5
200,3,37.5,-40.0
201,3,37.5,-37.5
202,3,37.5,-35.0
203,3,37.5,-32.5
204,3,37.5,-30.0
205,3,37.5,-27.5
206,3,37.5,-25.0
207,3,37.5,-22.5
208,3,37.5,-20.0
209,3,37.5,-17.5
210,3,37.5,-15.0
211,3,37.5,-12.5
212,3,37.5,-10.0
213,7,37.5,-7.5
214,7,37.5,-5.0
215,7,37.5,-2.5
216,3,37.5,0.0
217,3,37.5,2.5
218,11,37.5,5.0
219,11,37.5,7.5
220,11,37.5,10.0
221,11,37.5,12.5
222,11,37.5,15.0
223,11,37.5,17.5
224,11,37.5,20.0
225,7,37.5,22.5
226,11,37.5,25.0
227,7,37.5,27.5
228,7,37.5,30.0
229,7,37.5,32.5
230,7,37.5,35.0
231,7,37.5,37.5
232,10,37.5,40.0
233,10,37.5,42.5
234,7,37.5,45.0
235,7,37.5,47.5
236,5,37.5,50.0
237,11,37.5,52.5
238,4,37.5,55.0
239,7,37.5,57.5
240,10,37.5,60.0
241,10,37.5,62.5
242,10,37.5,65.0
243,10,37.5,67.5
244,7,37.5,70.0
245,5,37.5,72.5
246,11,37.5,75.0
247,10,37.5,77.5
248,2,37.5,80.0
249,2,37.5,82.5
250,2,37.5,85.0
251,4,37.5,87.5
252,4,37.5,90.0
253,2,37.5,92.5
254,2,37.5,95.0
255,4,37.5,97.5
256,4,37.5,100.0
257,11,37.5,102.5
258,4,37.5,105.0
259,4,37.5,107.5
260,4,37.5,110.0
261,4,37.5,112.5
262,4,37.5,115.0
263,4,37.5,117.5
264,8,37.5,120.0
265,8,37.5,122.5
266,8,37.5,125.0
267,8,37.5,127.5
268,8,37.5,130.0
269,8,37.5,132.5
270,8,37.5,135.0
271,8,37.5,137.5
272,1,37.5,140.0
273,8,37.5,142.5
274,8,37.5,145.0
275,8,37.5,147.5
276,8,37.5,150.0
277,8,37.5,152.5
278,8,37.5,155.0
279,8,37.5,157.5
280,8,37.5,160.0
281,3,37.5,162.5
282,3,37.5,165.0
283,3,37.5,167.5
284,3,37.5,170.0
285,3,37.5,172.5
286,3,37.5,175.0
287,3,37.5,177.5
288,3,35.0,-180.0
289,3,35.0,-177.5
290,3,35.0,-175.0
291,3,35.0,-172.5
292,3,35.0,-170.0
293,3,35.0,-167.5
294,3,35.0,-165.0
295,3,35.0,-162.5
296,3,35.0,-160.0
297,3,35.0,-157.5
298,3,35.0,-155.0
299,3,35.0,-152.5
300,3,35.0,-150.0
301,3,35.0,-147.5
302,3,35.0,-145.0
303,3,35.0,-142.5
304,3,35.0,-140.0
305,3,35.0,-137.5
306,3,35.0,-135.0
307,3,35.0,-132.5
308,3,35.0,-130.0
309,3,35.0,-127.5
310,1,35.0,-125.0
311,3,35.0,-122.5
312,7,35.0,-120.0
313,10,35.0,-117.5
314,2,35.0,-115.0
315,10,35.0,-112.5
316,10,35.0,-110.0
317,10,35.0,-107.5
318,4,35.0,-105.0
319,4,35.0,-102.5
320,4,35.0,-100.0
321,7,35.0,-97.5
322,11,35.0,-95.0
323,11,35.0,-92.5
324,11,35.0,-90.0
325,11,35.0,-87.5
326,11,35.0,-85.0
327,11,35.0,-82.5
328,8,35.0,-80.0
329,8,35.0,-77.5
330,8,35.0,-75.0
331,8,35.0,-72.5
332,8,35.0,-70.0
333,8,35.0,-67.5
334,3,35.0,-65.0
335,3,35.0,-62.5
336,3,35.0,-60.0
337,3,35.0,-57.5
338,3,35.0,-55.0
339,3,35.0,-52.5
340,3,35.0,-50.0
341,3,35.0,-47.5
342,3,35.0,-45.0
343,3,35.0,-42.5
344,3,35.0,-40.0
345,3,35.0,-37.5
346,3,35.0,-35.0
347,3,35.0,-32.5
