,cluster,nodes_lat,nodes_lon
0,1,40.0,-180.0
1,1,40.0,-177.5
2,1,40.0,-175.0
3,1,40.0,-172.5
4,1,40.0,-170.0
5,1,40.0,-167.5
6,1,40.0,-165.0
7,1,40.0,-162.5
8,1,40.0,-160.0
9,1,40.0,-157.5
10,1,40.0,-155.0
11,1,40.0,-152.5
12,1,40.0,-150.0
13,7,40.0,-147.5
14,7,40.0,-145.0
15,7,40.0,-142.5
16,7,40.0,-140.0
17,7,40.0,-137.5
18,7,40.0,-135.0
19,7,40.0,-132.5
20,7,40.0,-130.0
21,7,40.0,-127.5
22,7,40.0,-125.0
23,7,40.0,-122.5
24,7,40.0,-120.0
25,2,40.0,-117.5
26,2,40.0,-115.0
27,2,40.0,-112.5
28,2,40.0,-110.0
29,2,40.0,-107.5
30,2,40.0,-105.0
31,4,40.0,-102.5
32,4,40.0,-100.0
33,4,40.0,-97.5
34,4,40.0,-95.0
35,4,40.0,-92.5
36,4,40.0,-90.0
37,4,40.0,-87.5
38,4,40.0,-85.0
39,4,40.0,-82.5
40,4,40.0,-80.0
41,4,40.0,-77.5
42,4,40.0,-75.0
43,4,40.0,-72.5
44,5,40.0,-70.0
45,5,40.0,-67.5
46,5,40.0,-65.0
47,5,40.0,-62.5
48,5,40.0,-60.0
49,5,40.0,-57.5
50,5,40.0,-55.0
51,5,40.0,-52.5
52,5,40.0,-50.0
53,5,40.0,-47.5
54,5,40.0,-45.0
55,5,40.0,-42.5
56,5,40.0,-40.0
57,5,40.0,-37.5
58,5,40.0,-35.0
59,5,40.0,-32.5
60,5,40.0,-30.0
61,5,40.0,-27.5
62,5,40.0,-25.0
63,5,40.0,-22.5
64,5,40.0,-20.0
65,5,40.0,-17.5
66,5,40.0,-15.0
67,7,40.0,-12.5
68,7,40.0,-10.0
69,7,40.0,-7.5
70,7,40.0,-5.0
71,7,40.0,-2.5
72,7,40.0,0.0
73,7,40.0,2.5
74,7,40.0,5.0
75,7,40.0,7.5
76,7,40.0,10.0
77,7,40.0,12.5
78,7,40.0,15.0
79,2,40.0,17.5
80,2,40.0,20.0
81,2,40.0,22.5
82,2,40.0,25.0
